Institute Name,DTE Region,Region Type,Address,District,Taluka,Pincode,Std Code,Website,Email,Head Name,Office Number,Personal Number
"Shri Hanuman Vyayam  Prasarak Mandals College of Engineering & Technology, Amravati",Amravati,Urban,"Hanuman Vyayam Nagar, H.V.P.M. Campus, Amravati",Amravati,,444605,0721,www.hvpmcoet.in,principal@hvpmcoet.in,Dr. A.B.Marathe,2563422 Ext.- ,2563422 Ext.- 
"Dr. Bhausaheb Nadurkar College of Engineering, Waghapur,Yavatmal",Amravati,Urban,"Shri Saty Sai Krida Nagari, Waghapur Road, Yavatmal",Yavatmal,,445001,07232,www.dbncoet.ac.in,principal@dbncoet.ac.in,Dr. Vithal G. Arajpure,244097 Ext.- 23,246166 Ext.- 23
"Indira Bahuuddeshiya Shikshan Sanstha, College of Engineering, Ghatkheda, Amravati",Amravati,Rural,"Mardi Road, Ghatkheda, Amravati",Amravati,,444602,0721,www.coeaonline.org,principal_coe@rediffmail.com,Dr.S.G.Patil ,2711625 Ext.- 0721,2661928 Ext.- 0721
"G.H. Raisoni college of Engineering & Management, Amravati",Amravati,Rural,"Anjangaon, Bari Road, Amravati",Amravati,,444701,0721,ghrcema.raisoni.net,prashant.ingole@raisoni.net,Dr. Prashant V. Ingole,2385432 Ext.- ,2385429 Ext.- 
"Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshri Shahu College of Engineering, Buldhana",Amravati,Rural,"Rajarshi Shahu Nagar, Near Palna Ghar, Sagwan Road,  Buldhana ",Buldhana,,443001,07262,www.rsce.ac.in,rsc_engg@rediffmail.com,Dr. A.M. Jinturkar,287167 Ext.- ,242080 Ext.- 
"Shri. Dadasaheb Gawai Charitable Trust's Dr. Smt. Kamaltai Gawai Institute of Engineering & Technology, Darapur, Amravati",Amravati,Rural,"Darapur, Taluka. Daryapur, Amravati",Amravati,,444814,,www.kgiet.ac.in,Principal.kgiet@gmail.com,Dr. S. M. Kherde,93263948 Ext.- 65,93263948 Ext.- 65
"Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha College of Engineering and Technology, Yavatmal",Amravati,Rural,"Sr. No.167/1,167/2 &163/,Arni Road, Mauza-Kinhi,Tal & Dist-Yavatmal",Yavatmal,,445001,07232,www.jcoet.org,principal@jcoet.org,Dr. S. K. Kalaspurkar,244226 Ext.- ,244226 Ext.- 
"Prof Ram Meghe College of Engineering  and Management, Badnera",Amravati,Urban,"New Express Highway, Badnera Dist. Amravati",Amravati,,444701,0721,www.prmceam.ac.in,principal@prmceam.ac.in,Dr. M. S. Ali,2580373 Ext.- ,2578385 Ext.- 
"Dhamangaon Education Society's College of Engineering and Technology, Dhamangaon",Amravati,Rural,"Knowledge Hub, Anjansingi Road, Dhamangaon RlY. Station, Amravati",Amravati,,444709,07222,www.descoet.org,desdcoet@rediffmail.com,Dr. L. P. Dhamande,237335 Ext.- 07222,238235 Ext.- 07222
"Vision Buldhana Educational & Welfare Society's Pankaj Laddhad Institute of Technology & Management Studies, Yelgaon",Amravati,Urban,"Chikhali Road, Post Yelgaon, Tal & Buldhana",Buldhana,,443001,07262,www.plit.ac.in,principal_plit@rediffmail.com,Dr. P.M. Jawandhiya, Ext.- ,286111 Ext.- 
"Sanmati Engineering College, Sawargaon Barde, Washim",Amravati,Rural,"Survey no. 40, Washim-Malegaon Road, At. Post  Sawargaon Barde Dist. Washim ",Washim,,444505,07252,www.sanmati.in,walchale@gmail.com,Dr. V. M. Patil,234302 Ext.- ,233090 Ext.- 
"Padmashri Dr. V.B.  Kolte College of Engineering, Malkapur, Buldhana",Amravati,Rural,"Malkapur, Dist. Buldhana",Buldhana,,443101,07267,www.coemalkapur.ac.in,coemalkapur@rediffmail.com,Dr. J.P.Porwal,226700 Ext.- ,224943 Ext.- 
"Bhonsla College of Engineering & Reasearch, Akola",Amravati,Rural,"Survey No. 65, Mouza - Hingna Barlingna, Akola-Washim Highway, Tah. & Dist. Akola. ",Akola,,444001,0712,www.bhonslacer.org,bim.ngp@gmail.com,Dr Jayant P Kaware,6090111 Ext.- 0724, Ext.- 
"Mauli Group of Institutions, College of Engineering and Technology, Shegaon.",Amravati,Urban,"Khamgaon Road, Shegaon Dist. Buldhana",Buldhana,,444203,07265,www.mauligroup.org,maulicoet@gmail.com,Dr.C.M.Jadhao,254462 Ext.- ,254462 Ext.- 
"Pratap Institute of Management & Technology, Washim.",Amravati,Rural,"Gat No. 89 & 90, Mauza Walki, Risod Road, Washim",Washim,,444505,07252,www.pimtwashim.org,pimt.washim@gmail.com,Sachin Pratapsing Ade,288919 Ext.- 07252,288919 Ext.- 07252
"Siddhivinayak Technical Campus, School of Engineering & Research Technology, Shirasgon, Nile ",Amravati,Rural,"Gat No.133,134 & 140, Shegaon Khamgaon Road, Shirasgaon, Nile, Tal. Shegaon.",Buldhana,,444203,07263,www.stc.org.in,admn.stc@gmail.com,Dr Sanjay M. Kelo,220222 Ext.- ,220333 Ext.- 
"Mavav School of Engineering & Technology, Gut No. 1035 Nagpur Surat Highway, NH No. 6 Tal.Vyala, Balapur, Akola,  444302",Amravati,Rural,"Gut No.1035, Surat Nagpur Highway Vyala, Tal.Balapur, Akola.",Akola,,444302,07257,www.manavengineering.com,pradipson@gmail.com,Pralhad Polgawande,238406 Ext.- ,238406 Ext.- 
"Let.Dr.D.B.Dod College of Engineering, Jambla,Achalpur",Amravati,Rural,"Sr.No.31/4 Mauja Jambla, Anjangaon Road,Paratwada Tal. Achalpur Dist. Amravati. ",Amravati,,444805,07223,www.dbdcoe.org,drdbdod@rediffmail.com,Chandrashekhar D Dod,225503 Ext.- 07223, Ext.- 
"Government College of Engineering,  Aurangabad",Aurangabad,Urban,"Station Road, Osmanpura,  Aurangabad",Aurangabad,,431005,0240,www.geca.ac.in,principalgeca@yahoo.com,Dr. P.S. Adwani,2366111 Ext.- ,2366111 Ext.- 
"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",Aurangabad,Urban,"Vishnupuri, Nanded",Nanded,,431606,02462,www.sggs.ac.in,director@sggs.ac.in,Dr. L. M. Waghmare,229234 Ext.- ,229234 Ext.- 
"Everest Education Society, Group of Institutions (Integrated Campus), Ohar",Aurangabad,Urban,"Gut No.187&189, Ohar, Jatwada Road,  Aurangabad",Aurangabad,,431119,0240,www.everesteducationsociety.org,contact@everesteducationsociety.org,Dr.Santosh S. Lomte,6450827 Ext.- ,6450827 Ext.- 
"Shree Yash Pratishthan, Shreeyash College of Engineering and Technology, Aurangabad",Aurangabad,Rural,"Gut No. 258 (P), Satara Tanda, Tal & Dist. Aurangabad",Aurangabad,,431005,0240,www.syp.ac.in,sycet@yahoo.com,Dr. AJAY GULABRAO DAHAKE,6608701 Ext.- 701,6608702 Ext.- 702
"G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Aurangabad,Urban,"N.H. No. 211,Beed bypass Road, Satara, Aurangabad",Aurangabad,,431028,0240,www.mit.asia,spbhosle2001@gmail.com,Dr. S. P. Bhosle,2375222 Ext.- 222,2375222 Ext.- 222
"Matoshri Pratishan's Group of Institutions (Integrated Campus), Kupsarwadi , Nanded",Aurangabad,Rural,"Jijau Nagar, Off Nanded Latur Highway, Kupsarwadi, Post Vishnupuri. Dist. Nanded",Nanded,,431606,02462,www.mpgi.org,matoshripratishthan2012@gmail.com,Dr. Rajiv Dharaskar,229970 Ext.- 203,229967 Ext.- 203
"Gramodyogik Shikshan Mandal's Marathwada Institute of Technology, Aurangabad",Aurangabad,Urban,"P.B.-327, Satara Village Rd.,  off Beed By-Pass Highway ,Aurangabad",Aurangabad,,431028,0240,www.mit.asia,shekhar.gogte@mit.asia,Dr. C. L. Gogte,2375375 Ext.- 111,2375111 Ext.- 
"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded.",Aurangabad,Urban,"Near Airport,Hingoli Road, Nanded",Nanded,,431605,02462,www.mgmcen.org,mgmcen@giasbm01.vsnl.net.in,  Dr. (Mrs.) Geeta S. Lathkar,222999 Ext.- , Ext.- 
"Maharashtra College of Engineering, Nilanga",Aurangabad,Urban,"Maharashtra Education Society's College of Engineering, Nilanga A/P Nilanga Dist. Latur ",Latur,,413521,02384,www.mce-nilanga.com,mcenilanga20@yahoo.com,Mr. D. R. Makane ,242088 Ext.- , Ext.- 
"M.S. Bidve Engineering College, Latur",Aurangabad,Rural,"P.O. Box No. 112, Barshi Road, Latur",Latur,,413531,02382,www.msbecl.ac.in,principal@msbecl.ac.in,Dr. A.M.Chimegave,221255 Ext.- 21,221846 Ext.- 
"Terna Public Charitable Trust's College of Engineering, Osmanabad",Aurangabad,Rural,"Solapur  Road, Osmanabad ",Osmanabad,,413501,02472,www.coeosmanabad.com,principal.coeo@yahoo.com,Dr. S.M. Jagade ,251011 Ext.- , Ext.- 
"Shree Tuljabhavani College of Engineering, Tuljapur",Aurangabad,Rural,"Naldurg Road, Tuljapur, Dist. Osmanabad",Osmanabad,,413601,02471,www.stbcet.org.in,stbcet@gmail.com,Prof N.D. Pergad,243603 Ext.- ,243603 Ext.- 
"M.G.M.'s Jawaharlal Nehru Engineering College, Aurangabad",Aurangabad,Urban,"Mahatma Gandhi Mission's Jawaharlal Nehru Engg. College Campus, N-6, CIDCO",Aurangabad,,431003,0240,www.jnec.ac.in,jnec@jnec.ac.in,"Dr Sudhir Deshmukh, M.E (Prod), Ph.D.",2482893 Ext.- 105,2325983 Ext.- 
"Mahatma Basaweshwar Education Society's College of Engineering, Ambejogai",Aurangabad,Rural,"Ambejogai, Beed",Beed,,431517,02446,www.coea.ac.in,khadakbhavibi@gmail.com,Dr.B.I.Khadakbhavi,247262 Ext.- ,2488882 Ext.- 
"Peoples Education Society's College of Engineering, Aurangabad",Aurangabad,Urban,"Nagasen Vana, Near Panchakki, University Rd., Aurangabad",Aurangabad,,431002,0240,www.pescoe.ac.in,principal@pescoe.ac.in,Prin. Dr. A. P. WADEKAR,2400031 Ext.- ,2400031 Ext.- 
"Hi-Tech Institute of Technology, Aurangabad",Aurangabad,Urban,"P-119, Bajajnagar, Aurangabad ",Aurangabad,,431133,0240,www.hitechengg.edu.in,principal@hitechengg.org,Dr. Prakash G. Kadam,2553496 Ext.- 14,2552240 Ext.- 
"Aditya Engineering College , Beed",Aurangabad,Rural,"Telgaon Road, Beed Tal.& Dist. Beed",Beed,,431122,02442,www.adityaeducation.org.in,principal.aditya@gmail.com,Dr. Manoj Kumar Verma,227038 Ext.- , Ext.- 
"Nagnathappa Halge Engineering  College, Parli, Beed",Aurangabad,Rural,"At Brahmwadi , Post Tokwadi, Parli-Beed State Highway, Parli Vaijnath Dist. Beed",Beed,,431530,02446,www.nhce.in,nhce1@hotmail.com,Dr. M. Bhaskara Rao,224334 Ext.- ,224334 Ext.- 
"Matsyodari Shikshan Sansatha's College of Engineering and Technology, Jalna",Aurangabad,Rural,"Jalna-Aurangabad Road, Nagewadi, Jalna",Jalna,,431203,02482,www.msscetjalna.org,msscetjalna@gmail.com,Dr. C.M. Sedani,262055 Ext.- 204,202533 Ext.- 
"Lokvikas Educational  & Charitable Trust, Savitribai Phule Women's Engineering College, Sharnapur, Aurangabad",Aurangabad,Urban,"Gut No. 59, (P), Sharnapur,Dist.  Aurangabad",Aurangabad,,431130,0240,spcoe.edu.in,spweca@gmail.com,Prof. P.R. Thorat,2040124 Ext.- 0240,2040124 Ext.- 0240
"Shri Sai Samajik Vikas Santha's Shri Sai Colllege of Engineering, Paddari Village Tal. & Dist. Aurangabad",Aurangabad,Rural,"Gut No. 80, Paddari Village,Near Beed bypass,via Deolai,Near Sai Mandir, Tal. & Dist. Aurangabad",Aurangabad,,431005,0240,www.saiengineeringcollege.in,appoint01@gmail.com,Dr. R.S.Ghadge,6453732 Ext.- 0240,6517388 Ext.- 0240
"Maharashtra Education Society's Maharashtra Udayagiri Institute of Management & Technology, Somnathpur",Aurangabad,Rural,"Vill. Somnathpur, Tal. Udgir. Dist. Latur",Latur,,413517,02385,www.muimt.ac.in,principalmuimt@gmail.com,Dr.Mugale Umesh ,256152 Ext.- ,257722 Ext.- 
"Geetai Charitable Trust's Khurana Sawant Institute of Engineering & Technology, Balsond, Hingoli.",Aurangabad,Rural,"Balsond, Tal.& Dist. Hingoli",Hingoli,,431513,02456,www.ksiet.org,ksiet_hingoli@yahoo.co.in,Prof. U. S. Sakhare,290281 Ext.- ,290282 Ext.- 
"Adarsh Shikshan Prasarak Mandal's K. T. Patil College of Engineering and Technology, Osmanabad",Aurangabad,Rural,"Keshav Nagar, Jadahavwadi Road, Osmanabad.Tal.  & Dist. Osmanabad",Osmanabad,,413501,02472,www.ktpcoe.org,ktpcoeo@rediffmail.com,Prof. Jamadar Syed Shafi,2283200 Ext.- ,2283099 Ext.- 
"Aurangabad College of Engineering,  Naygaon Savangi, Aurangabad",Aurangabad,Rural,"GatT No 52, TUljapur Shivar, Naygoan Savangi, Aurangabad",Aurangabad,,431003,0240,www.aurangabadengg.com,lokhande3000@gmail.com,chandrashekhar lokhande,2485686 Ext.- 0240, Ext.- 0240
"Marathwada Shikshan Prasarak Mandal's Shri Shivaji Institute of Engineering and Management Studies, Parbhani",Aurangabad,Urban,"Vasmat Road,Parbhani",Parbhani,,431401,02452,www.mspgroup.org,director.ssiems@yahoo.com,Prof. Balaji Gajananrao Bachewar,234109 Ext.- ,234109 Ext.- 
"Vilasrao Deshmukh Foundation Group of Institutions, Latur",Aurangabad,Urban,"Additional MIDC Area, Plot 165A, Near to Manjara Sugar, Latur",Latur,,413531,02382,www.vdfengineering.co.in,info.pharmacy@vdf.in,Dr.S.J.Arwikar / Prof. Wakure B.S.,267737 Ext.- ,267733 Ext.- 
"Balaghat Engineering College,Ruddha, Ahmedpur",Aurangabad,Rural,"Latur - Nanded Highway, Rudha, Ahmedpur, Taluka - Ahmedpur,Dist-Latur",Latur,,413515,02381,www.balaghatcollege.com,balaghat_eng@rediffmail.com,Dr.S.N.Agashe,279033 Ext.- 11, Ext.- 
"Sai Institute of Engineering & Technology, Bilda, Aurangabad.",Aurangabad,Rural,"Survey No.170, Sai Nagar,Aurangabad Ajanta Road,Jalgaon Highway,Village Bilda,Tal. Phulambri,",Aurangabad,,431008,0240,www.sietaurangabad.com,gangadharmundhe@gmail.com,S.S.Deshmukh,2020555 Ext.- ,2020555 Ext.- 
"International Centre of Excellence in Engineering & Management, Aurangabad.",Aurangabad,Rural,"Gut No.4,Opp.Bajaj Auto ltd. Infront of MIDC filtration plant,Aurangabad-Pune High way",Aurangabad,,431136,0240,www.iceemabad.com,director@iceemabad.com,Dr. Pramod A. Deshmukh,2558120 Ext.- , Ext.- 
"STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.",Aurangabad,Urban,"Gat No. 23, Kolpa Tq & Dist. Latur",Latur,,413512,02382,www.vit.edu/latur,badgireudhav@gmail.com,Dr.Mohan Buke,263546 Ext.- , Ext.- 
"V.J. Shinde College of Engineering, Osmanabad.",Aurangabad,Urban,"Gat No. 738, Waruda road, Osmanabad.",Osmanabad,,413501,02472,www.vjsengg.com,vjscoe2529@gmail.com,WAKURE SANJAY U,203205 Ext.- ,226007 Ext.- 
"CSMSS Chh. Shahu College of Engineering, Aurangabad",Aurangabad,Urban,"Kanchanwadi, Paithan Road, Aurangabad.",Aurangabad,,431002,0240,www.csmssengg.org,shahuengg@gmail.com,Dr. Ulhas B. Shinde,2379012 Ext.- ,6646370 Ext.- 
"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",Mumbai,Urban,"H.R. Mahajani Marg, Matunga, Mumbai ",Mumbai-City,,400019,022,www.vjti.ac.in,director@vjti.org.in,Dr. O G Kakde,24198101 Ext.- ,24198101 Ext.- 
"Sardar Patel College of Engineering, Andheri",Mumbai,Urban,"Munshi Nagar, Andheri (West),  Mumbai - Suburban ,Mumbai ",Mumbai-Suburban,,400058,022,www.spce.ac.in,principal@spce.ac.in,Dr. Priyadarshi H. Sawant,26232192 Ext.- 201,26708371 Ext.- 
"Dr. Babasaheb Ambedkar Technological University, Lonere",Mumbai,,"Vidyavihar, P.O. Lonere, Ta-Mangaon Dist. Raigad ",Raigad,,402103,02140,www.dbatu.ac.in,registrar@dbatu.ac.in,Dr.V. G. SARGADE ( I/c Registrar ),275142 Ext.- , Ext.- 
"Usha Mittal Institute of Technology SNDT  Women's University, Mumbai",Mumbai,Urban,"SNDT  Women's University, Mumbai Juhu Campus, Santacruz (W), Mumbai ",Mumbai-Suburban,,400049,022,www.umit.ac.in,umitsndt@rediffmail.com,Dr. Sanjay S. Pawar,26605183 Ext.- , Ext.- 
"Institute of Chemical Technology, Matunga, Mumbai",Mumbai,Urban,"Nathalal Parikh Marg, Matunga, Mumbai ",Mumbai-City,,400019,022,www.ictmumbai.edu.in,ar.acad@staff.ictmumbai.edu.in,Prof. G.D. Yadav,33611111 Ext.- 2222, Ext.- 
"Saraswati Education Society, Group of Institutions ( Integrated Campus), Diksal Dist. Raigad",Mumbai,Rural,"Sau.Vandana N.Tasgaonkar Technical Education Complex, Plot No.14, Village Diksal Post Koshane, Kalyan-Karjat Road,",Raigad,,410201,02148,www.tasgaonkartech.com,sesgoifoe3124@gmail.com,DR. ASHISH PANAT,96570684 Ext.- 56,225666 Ext.- 
"Manjara Charitable Trust's Rajiv Gandhi Institute of Technology, Mumbai",Mumbai,Urban,"Off. Juhu Versova Link Road, Versova, Andheri(W) Mumbai ",Mumbai-Suburban,,400053,022,www.mctrgit.ac.in,mctrgit02@gmail.com,Dr. Udhav Bhosle,26707026 Ext.- 101,26707025 Ext.- 101
"Vidyalankar Institute of Technology,Wadala, Mumbai",Mumbai,Urban,"Vidyalankar Educational Campus,Vidyalankar College Marg, Wadala(E), Mumbai ",Mumbai-City,,400037,022,www.vit.edu.in,principal@vit.edu.in,Dr. S A Patekar,24161126 Ext.- 1495,24161126 Ext.- 9001
"Jawahar Education Society's Annasaheb Chudaman Patil College of Engineering,Kharghar",Mumbai,Urban,"Sector 4,Ploat No-17,Kharghar, Navi Mumbai. Dist. Raigad ",Raigad,,410210,022,www.acpce.org,principal@acpce.org,Dr. Dileep G. Borse,27745722 Ext.- ,65252101 Ext.- 
"Saraswati Education Society, Yadavrao Tasgaonkar  Institute of Engineering & Technology, Karjat",Mumbai,Rural,"Near Bhiv puri Road Railway statiion Chandai ,Tal Karjat, Dist Raigad",Raigad,,410201,02148,www.tasgaonkartech.com,nanduyt@hotmail.com,Dr.P. Rajendra Prasad,320781 Ext.- 02148, Ext.- 
"Mahavir Education Trust's Shah & Anchor Kutchhi Engineering College, Mumbai",Mumbai,Urban,"Vaman Tukaram Patil Marg, Chembur, Mumbai",Mumbai-Suburban,,400088,022,www.shahandanchor.com,principal@shahandanchor.com,Prof.V.C.Kotak,25580854 Ext.- 120,67978100 Ext.- 120
"Saraswati Education Society's Saraswati College of Engineering,Kharghar Navi Mumbai",Mumbai,Urban,"Plot No 46/46 A, Sector 5 Near MSEB Sub Station Kharghar Navi Mumbai  Dist. Raigad ",Raigad,,410210,022,www.sce.edu.in,registrarsaraswati@gmail.com,DR.Manjusah Deshmukh,27743705 Ext.- 215,27743706 Ext.- 215
"Ramrao Adik Edu Soc, Ramarao Adik Institute of Tech., Navi Mumbai",Mumbai,Urban," Dr. D.Y. Patil Vidyanagar, Sector-7, Phase-I, Nerul, Navi Mumbai",Thane,,400706,022,www.rait.ac.in,ramraoadik@gmail.com,Dr. Ramesh Vasappanavara,27709574 Ext.- , Ext.- 
"M.G.M.'s College of Engineering and Technology, Kamothe, Navi Mumbai ",Mumbai,Urban,"At Junction of NH4 & Sion-Panvel Expressway,  Kamothe, Navi Mumbai ",Raigad,,410209,022,www.mgmmumbai.ac.in,principal.cet@mgmmumbai.ac.in,Dr. Santosh K. Narayankhedkar,27433421 Ext.- ,65138119 Ext.- 
"Thakur College of Engineering and Technology, Kandivali, Mumbai",Mumbai,Rural,"Thakur Shyamnarayan Marg,Thakur Village,Kandivali(E), Mumbai",Mumbai-Suburban,,400101,022,www.tcetmumbai.in,tcet@thakureducation.org,Dr.B.K.Mishra,67308000 Ext.- 106,67308000 Ext.- 110
"K.J.Somaiya College of Engineering, Vidyavihar, Mumbai",Mumbai,Urban,"Vidya_Nagar, Vidya Vihar, Mumbai ",Mumbai-Suburban,,400077,022,www.somaiya.edu/kjsce,principal.engg@somaiya.edu,DR. SHUBHA PANDIT,66449191 Ext.- , Ext.- 
"Thadomal Shahani Engineering College, Bandra, Mumbai",Mumbai,Urban,"37th Road, Off Linking Road, (Near National), Bandra (West), Mumbai ",Mumbai-Suburban,,400050,022,www.tsec.edu,gtthampi@yahoo.com,Prof. (Dr.) G.T.Thampi,26041631 Ext.- ,26047087 Ext.- 
"Anjuman-I-Islam's M.H. Saboo Siddik College of Engineering, Byculla, Mumbai",Mumbai,Urban,"8, M.H.Saboo Siddik Polytechnic Road, P.O.Box: 4627, Byculla ,Mumbai",Mumbai-City,,400008,022,www.mhssce.ac.in,aimhssce@gmail.com,Dr. Mohiuddin Ahmed,23012922 Ext.- 101, Ext.- 
"Fr. Conceicao Rodrigues College of Engineering, Bandra,Mumbai",Mumbai,Urban,"Father Agnel Ashram , Band-stand, Bandra (West), Mumbai",Mumbai-Suburban,,400050,022,www.fragnel.edu.in,crce@fragnel.edu.in,Dr. Srija Unnikrishnan,67114000 Ext.- ,67114101 Ext.- 
"Vivekanand Education Society's Institute of Technology, Chembur, Mumbai",Mumbai,Urban,"Hashu Advani Memorial Complex, Behind Collector Colony, R.C. Marg, Chembur, Mumbai",Mumbai-Suburban,,400074,022,www.vesit.edu,vesit@vsnl.com,Dr. (Mrs.) J. M. Nair ,61532532 Ext.- ,61532511 Ext.- 511
"N.Y.S.S.'s Datta Meghe College of Engineering, Airoli, Navi Mumbai",Mumbai,Urban,"P.B. No. 15, CIDCO Colony, Plot No. 98, Sector 3,  Airoli, Navi Mumbai ",Thane,,400708,022,www.dmce.edu,principaldmce@yahoo.com,Dr. S. D. Sawarkar,27791662 Ext.- 132, Ext.- 
"Padmabhushan Vasantdada Patil Pratishthans College of Engineering, Sion,Mumbai",Mumbai,Urban,"Padmabhushan Vasantdada Patil Education Complex, Eastern Express Highway, Near Everard Nagar,  Sion-Chunabhatti Mumbai ",Mumbai-City,,400022,022,www.pvppcoe.ac.in,principal@pvppcoe.ac.in,Dr. Rajendra R. Sawant,24070547 Ext.- 0181, Ext.- 
"Bharati Vidyapeeth College of Engineering, Belpada, Kharghar, Navi Mumbai",Mumbai,Urban,"Sector - 7,CBD- Belpada,Near  Kharghar Rly Station, Navi Mumbai ",Raigad,,400614,022,www.bvcoenm.org.in,mzshaikh2003@yahoo.co.in,Dr. M. Z. Shaikh,27572140 Ext.- 103,27571074 Ext.- 103
"Terna Engineering College, Nerul, Navi Mumbai",Mumbai,Urban,"Plot No. 12, Sector-22,Opp. Nerul Railway Station,Phase-II, Nerul (W),Navi Mumbai ",Thane,,400706,022,www.terna.org,principal@terna.org,Dr. SHAH DEVEN NAVINCHANDRA,61115444 Ext.- 401,61115401 Ext.- 
"Mandar Education Society's Rajaram Shinde College of Engineering, Pedhambe",Mumbai,Rural,"At Pedhambe, Po. Alore, Tal : Chiplun, Dist. Ratnagiri",Ratnagiri,,415603,02355,www.mandaredusoc.org,rscoedegree@gmail.com,DR.MAHAJAN S.R,230005 Ext.- 2008,230005 Ext.- 2009
"Smt. Indira Gandhi College of Engineering,Kopar Khairane, Navi Mumbai",Mumbai,Urban,"Sector-16,CIDCO, Plot No.17 &18 Koper Khairane, Navi Mumbai ",Thane,,400709,022,www.sigce.edu.in,contactus@sigce.edu.in,Dr. Sunil S. Chavan,27543608 Ext.- ,27545242 Ext.- 
"Shivajirao S. Jondhale College of Engineering, Dombivali,Mumbai",Mumbai,Rural,"Sheel Kalyan Highway, Behind Venkatesh Petrolpump, Sonarpada, Manpada Post, Dombivali (E) Thane ",Thane,,421204,0251,www.shivajiraojondhalecoe.org.in,officessjcoe@gmail.com,Dr. J.W. Bakal,6512222 Ext.- ,2023973 Ext.- 
"Vidyavardhini's College of Engineering and Technology, Vasai, Thane",Mumbai,Urban,"Vasai Road (W Rly), Tal: Vasai Dist : Thane",Palghar,,401202,0250,www.vcet.edu.in,vcet_inbox@vcet.edu.in,DR ASHOK V BHONSALE,2338234 Ext.- 111,2338234 Ext.- 111
"Lokmanya Tilak College of Engineering, Kopar Khairane, Navi Mumbai",Mumbai,Urban,"Sector - 4, Plot N0 17 & 18, Vikas Nagar, Koparkhairane, Navi Mumbai",Raigad,,400709,022,www.ltce.ltjss.net,principal.ltce@ltjss.net,Dr. (Mr ) VIVEK YAKKUNDI,27541005 Ext.- , Ext.- 
